user_id,Font color (control),Font color (pilot),Background color (control),Background color (pilot)
ec6536,1,0,0,0
82fdba,1,0,1,0
83d7c5,1,0,0,0
294d1c,1,0,1,0
faaa6f,1,0,0,1
5d9cc2,1,0,0,0
163e7d,1,0,0,0
12ee1f,1,0,0,0
dd7a73,1,0,1,0
0e659a,1,0,0,0
4e8110,1,0,1,0
71cfdb,1,0,0,0
40c9fe,1,0,0,0
e3be2a,1,0,0,1
f804be,1,0,0,0
7e5a46,1,0,0,0
35cb35,1,0,0,0
5a72d8,1,0,0,1
d1c408,1,0,0,1
faa363,1,0,1,0
8a3106,1,0,0,0
9b5c57,1,0,1,0
2a249d,1,0,0,0
2e31cd,1,0,0,0
9fd27c,1,0,0,0
01fbd6,1,0,1,0
d24fae,1,0,0,1
5df819,1,0,0,0
8773bd,1,0,0,0
ba4160,1,0,0,0
24b59b,1,0,0,0
ddb59a,1,0,0,0
809635,1,0,0,1
57f5ee,1,0,1,0
8214e6,1,0,0,0
e5f1b8,1,0,1,0
dcc988,1,0,0,0
eef914,1,0,0,0
7340e9,1,0,1,0
c749fd,1,0,1,0
65c124,1,0,0,0
38dee3,1,0,0,0
4d9642,1,0,0,1
f4e5a8,1,0,0,1
41a327,1,0,0,1
a0cd15,1,0,1,0
d31990,1,0,0,0
ec1353,1,0,1,0
2449c9,1,0,0,1
2d38a3,1,0,0,0
993ea4,1,0,1,0
131233,1,0,0,0
908a26,1,0,0,0
ba25b0,1,0,0,0
6e3efe,1,0,0,1
903684,1,0,1,0
b137b7,1,0,1,0
8df6c3,1,0,0,0
d29482,1,0,0,0
54858b,1,0,0,0
03385a,1,0,0,0
7358a4,1,0,0,0
c1e4a0,1,0,0,1
f6df25,1,0,0,0
25df7c,1,0,0,1
99d647,1,0,1,0
1da74e,1,0,0,0
4f7951,1,0,0,0
265ad3,1,0,0,0
cf80f6,1,0,0,0
6f658b,1,0,0,0
fd4045,1,0,0,0
aa60d5,1,0,0,0
9a762e,1,0,0,0
a7bb37,1,0,0,0
115c7d,1,0,0,0
4144d1,1,0,0,0
5dc8a7,1,0,0,0
3cb5c6,1,0,0,0
12bbb9,1,0,0,0
f3380a,1,0,0,0
7474bb,1,0,0,0
09c091,1,0,0,0
2bcc6a,1,0,0,0
c331e3,1,0,0,1
47835f,1,0,0,1
31e964,1,0,0,0
f36522,1,0,0,0
76aace,1,0,0,0
0925fe,1,0,0,0
218dfc,1,0,0,1
685ac8,1,0,1,0
e09cb0,1,0,0,1
2e852d,1,0,0,1
fb347d,1,0,0,0
d78f6c,1,0,0,0
60c1d7,1,0,0,0
3435d3,1,0,0,0
ff26ba,1,0,1,0
5e624c,1,0,1,0
5a8759,1,0,0,0
03eb49,1,0,0,0
b52c60,1,0,0,1
325eaf,1,0,0,0
dafd49,1,0,0,0
