user_id,strat
000096,1
0000d4,1
0000de,1
0000e4,1
0000e7,1
000112,3
000152,2
0001e2,1
0001ff,1
00028b,3
000353,3
00045f,1
000470,3
00062e,1
0006bb,1
000720,1
00092c,3
000964,1
000a9d,1
000b52,1
000b8a,1
000b8b,1
000bb2,3
000cbb,1
000cd9,2
000cf0,1
000e74,3
000e95,3
000ea9,1
000ec6,3
000ef7,3
000f2a,3
0010ed,1
001231,1
0012c4,1
0013a1,3
001410,3
00144b,1
0014c7,3
0015d9,3
0015ed,1
00161a,1
001639,2
00178f,1
00184c,1
0019fa,1
001a49,3
001be2,1
001c56,3
001c85,3
001cd4,3
001d33,1
001d97,3
001e67,2
001e6b,3
001f22,1
002105,3
0021ea,1
002236,1
0022a7,3
002438,1
002455,3
0024ea,1
0025a4,1
002646,3
002733,3
002738,1
00274b,3
0027a0,3
002855,1
002949,3
002971,1
002982,3
002a5a,3
002aa1,3
002af9,1
002bfd,1
002c80,1
002c8a,1
002ce1,3
002d76,1
002ecb,2
002f2d,3
002f67,1
002f97,3
002f9b,1
00309e,3
0030bf,3
00313d,3
00314f,2
0031a2,3
003211,1
00323b,1
003311,1
003329,1
00332d,1
00333f,3
0033b9,3
0033c5,3
0033d7,3
0033f2,1
0034a8,3
0034ad,1
003517,3
00359a,1
0035b7,1
0035c2,1
0035ff,1
00360d,3
0036a6,1
003731,1
00373d,3
0037f9,3
003860,1
00386f,2
00393e,3
003971,1
003a3b,2
003c45,2
003cb4,3
003cee,3
003d35,2
003d93,3
003e01,3
003e15,1
003e3c,2
003e5c,2
003fdc,1
003fef,1
0040a9,1
0040d4,1
004160,3
0041ce,1
0041ec,3
00423c,1
004262,1
0042c2,3
00430a,3
004392,1
0043d0,3
0043de,1
0043e7,1
0045db,3
004658,3
0047e4,2
0048b0,1
004999,3
0049ca,1
004a13,3
004a95,1
004adc,3
004b08,1
004b91,1
004c0a,3
004d39,1
004e6d,1
004f21,1
005020,3
00517b,3
005188,2
00523b,1
0052ad,3
0052cc,1
0053e3,3
005449,1
00547c,3
005497,3
0054b8,1
0054ca,2
005562,1
005621,3
0056b2,3
005700,1
00577f,1
00580b,3
005838,3
005882,1
0059bc,1
005a9b,3
005b06,3
005b0f,1
005c5a,1
005c70,1
005d5a,1
005de5,2
005e36,1
005f15,1
005f74,1
005fa5,1
005fc8,3
005fee,3
006093,3
00609e,2
006251,3
0062e9,3
006477,3
0064b9,2
0064e6,2
0065e8,3
006663,1
006769,1
0067af,3
006939,3
006998,1
0069a7,1
006aad,3
006ace,1
006b69,1
006bd3,3
006c4e,1
006d04,3
006e34,1
006e6f,1
006ea2,3
006f70,1
006fae,2
006feb,2
006ff4,3
007049,2
0071e1,1
00725a,2
007349,3
00741b,1
007426,1
0075bf,3
00775a,2
007802,1
007834,3
0079c1,3
0079ce,1
0079f0,1
007a2a,2
007ab1,1
007abc,1
007b4c,3
007b67,3
007b79,1
007bb5,3
007c37,2
007c4e,1
007d4f,3
007d61,1
007d7b,3
007e43,3
007e60,3
007e81,3
007e84,3
007eae,3
007ee2,3
007f0b,1
007f44,1
008078,3
0080be,3
0080eb,2
00812c,1
008164,1
00824b,1
00826a,1
00834e,3
008381,3
0083dc,2
008455,1
008541,1
00860d,1
008634,2
008636,1
00868b,3
00870b,1
00872d,1
008767,1
00880f,3
008817,2
00899b,1
0089c5,1
008a5b,3
008a78,3
008aee,3
008b82,2
008ccd,3
008ea1,2
008eab,1
008f04,3
008fca,3
00901b,1
009020,1
009112,3
0091e3,3
0093cd,1
009560,1
0095ac,1
0096f8,2
00972b,3
009747,3
00980b,2
009847,1
